Date,year,month,day,Qmax,Wlmax
1969-05-12,1969,5,12,252.73,0.767
1970-05-03,1970,5,3,295.76,0.887
1971-05-13,1971,5,13,246.83,1.177
1972-05-21,1972,5,21,230.48,0.657
1973-05-23,1973,5,23,212.99,0.777
1974-05-17,1974,5,17,187.19,0.727
1975-05-17,1975,5,17,193.44,0.937
1976-05-13,1976,5,13,218.85,0.997
1977-05-24,1977,5,24,316.05,0.847
1978-05-18,1978,5,18,260.73,0.727
1979-04-30,1979,4,30,266.04,0.867
1981-05-18,1981,5,18,330.51,0.997
1982-05-10,1982,5,10,242.73,0.827
1983-04-20,1983,4,20,240.45,0.937
1985-05-20,1985,5,20,126.97,0.887
1986-04-29,1986,4,29,154.07,0.907
1987-04-22,1987,4,22,207.7,0.757
1988-05-12,1988,5,12,223.78,0.687
1989-05-08,1989,5,8,178.98,1.057
1990-05-02,1990,5,2,289.49,0.717
1991-05-13,1991,5,13,249.29,1.397
1992-05-14,1992,5,14,195.12,0.977
1993-05-07,1993,5,7,119.01,1.227
1994-05-14,1994,5,14,236.7,1.007
1995-05-15,1995,5,15,234.24,1.007
1996-05-03,1996,5,3,184.68,0.977
1997-05-17,1997,5,17,402.29,0.657
1998-05-07,1998,5,7,167.56,0.467
1999-05-09,1999,5,9,318.17,0.617
2002-05-11,2002,5,11,89.76,0.707
2003-05-21,2003,5,21,183.2,1.037
2004-05-05,2004,5,5,405.55,1.297
2006-05-07,2006,5,7,193.56,0.557
2007-11-17,2007,11,17,260.24,1.057
2008-10-29,2008,10,29,235.49,1.047
2009-05-10,2009,5,10,270.48,1.067
2010-12-15,2010,12,15,469.95,0.787
2011-05-06,2011,5,6,379.47,1.077
2013-05-26,2013,5,26,222.32,1.247
2014-05-17,2014,5,17,229.13,1.097
2015-05-06,2015,5,6,206.48,0.877
2016-06-14,2016,6,14,180.7,0.707
2017-05-08,2017,5,8,443.87,0.657
2018-05-06,2018,5,6,161.84,0.987
2019-05-27,2019,5,27,160.91,0.737
