Date,year,month,day,Qmax,Wlmax
1968-04-16,1968,4,16,136.04324340820312,5.638
1969-05-11,1969,5,11,178.6260528564453,5.467
1970-05-03,1970,5,3,221.251220703125,5.84
1971-05-05,1971,5,5,180.3629913330078,6.422
1972-05-05,1972,5,5,185.6025848388672,6.409
1973-04-29,1973,4,29,276.36277770996094,6.295
1974-05-01,1974,5,1,284.4043426513672,6.59
1975-05-04,1975,5,4,205.63455963134766,6.2
1976-04-21,1976,4,21,262.6440887451172,6.382
1977-04-22,1977,4,22,199.46007537841797,5.721
1978-05-10,1978,5,10,166.6639633178711,5.81
1979-04-29,1979,4,29,203.6244125366211,6.298
1980-04-10,1980,4,10,107.26659393310547,5.224
1981-02-25,1981,2,25,212.20264434814453,6.395
1982-04-28,1982,4,28,158.3629913330078,6.203
1983-05-03,1983,5,3,286.83436584472656,6.114
1984-04-17,1984,4,17,234.41409301757812,6.589
1985-04-28,1985,4,28,151.16910552978516,5.87
1986-04-03,1986,4,3,156.85736846923828,5.957
1987-04-01,1987,4,1,205.42057037353516,6.302
1988-11-08,1988,11,8,146.64104461669922,5.21
1989-05-07,1989,5,7,156.84707641601562,5.249
1990-04-28,1990,4,28,198.9050064086914,5.825
1991-04-10,1991,4,10,211.79176330566406,6.139
1992-04-24,1992,4,24,174.61688232421875,5.805
1993-04-17,1993,4,17,171.93704223632812,6.249
1994-06-28,1994,6,28,156.1844711303711,4.886
1995-11-15,1995,11,15,80.57257843017578,4.742
1996-04-24,1996,4,24,212.23365020751953,6.02
1997-05-02,1997,5,2,220.1233673095703,6.19
1998-04-02,1998,4,2,262.4829559326172,6.868
1999-04-22,1999,4,22,113.13160705566406,5.0
2000-05-11,2000,5,11,129.06929779052734,5.22
2001-04-25,2001,4,25,146.63475036621094,5.225
2002-04-18,2002,4,18,219.35112762451172,5.538
2003-11-20,2003,11,20,141.83698272705078,4.828
2004-09-10,2004,9,10,184.92333221435547,4.63
2005-04-28,2005,4,28,325.34521484375,6.375
2006-04-24,2006,4,24,225.6841583251953,5.504
2007-04-25,2007,4,25,154.45069885253906,5.412
2008-04-29,2008,4,29,299.93226623535156,6.283
2009-04-07,2009,4,7,213.8327865600586,6.171
2010-12-02,2010,12,2,192.8589096069336,4.942
2011-05-05,2011,5,5,226.6486358642578,6.394
2012-03-23,2012,3,23,258.08636474609375,5.798
2013-04-21,2013,4,21,143.97542572021484,5.113
2014-04-15,2014,4,15,252.82947540283203,6.249
2015-04-23,2015,4,23,121.77764892578125,5.396
2016-04-23,2016,4,23,154.9999008178711,5.668
2017-05-02,2017,5,2,252.16549682617188,6.61
2018-05-04,2018,5,4,247.52403259277344,6.229
2019-04-24,2019,4,24,272.2968444824219,6.904
2020-05-02,2020,5,2,183.48577880859375,5.321
