Date,year,month,day,Wlmax,Qmax
1968-04-01 17:45:00,1968,4,1,5.831,539.4480285644531
1969-04-20 17:30:00,1969,4,20,5.865,666.0874633789062
1970-05-07 16:00:00,1970,5,7,5.891,2871.021728515625
1971-04-25 15:15:00,1971,4,25,6.617,816.2113342285156
1972-05-11 13:45:00,1972,5,11,6.311,1643.2459716796875
1973-03-20 16:30:00,1973,3,20,6.593,419.55690002441406
1974-05-24 17:00:00,1974,5,24,6.64,3753.5430908203125
1975-04-27 16:00:00,1975,4,27,6.397,792.0629272460938
1976-04-04 18:45:00,1976,4,4,6.684,868.2593383789062
1977-03-19 16:00:00,1977,3,19,5.746,371.1005554199219
1978-04-24 16:00:00,1978,4,24,6.26,524.7296752929688
1979-05-01 19:00:00,1979,5,1,6.053,2887.209228515625
1980-04-17 16:45:00,1980,4,17,5.877,1064.2107543945312
1981-02-26 21:30:00,1981,2,26,5.99,852.81396484375
1982-04-28 18:15:00,1982,4,28,5.988,859.3597412109375
1983-05-13 15:45:00,1983,5,13,6.33,3712.596923828125
1984-04-19 17:30:00,1984,4,19,6.367,1216.209716796875
1985-05-06 16:00:00,1985,5,6,5.947,1861.5081176757812
1986-04-10 16:00:00,1986,4,10,5.856,1086.8170776367188
1987-04-02 18:00:00,1987,4,2,5.949,947.8322448730469
1988-05-02 15:30:00,1988,5,2,5.392,1692.1385498046875
1989-04-07 16:00:00,1989,4,7,5.148,560.0840148925781
1990-04-28 17:30:00,1990,4,28,5.577,2133.264892578125
1991-04-24 00:00:00,1991,4,24,6.159,1980.1427612304688
1992-04-27 00:15:00,1992,4,27,5.583,1714.2874755859375
1993-04-24 17:00:00,1993,4,24,6.383,1743.322021484375
1994-04-18 21:15:00,1994,4,18,5.6,628.6784973144531
1995-01-22 06:15:00,1995,1,22,5.351,650.9693298339844
1996-05-05 16:30:00,1996,5,5,5.869,2389.6558837890625
1997-05-08 16:15:00,1997,5,8,6.123,2827.954833984375
1998-04-02 19:30:00,1998,4,2,6.51,1057.9332275390625
1999-04-18 16:30:00,1999,4,18,5.07,619.9976196289062
2000-04-10 19:15:00,2000,4,10,5.248,1413.0084838867188
2001-04-14 21:00:00,2001,4,14,5.493,395.49794006347656
2002-04-29 16:30:00,2002,4,29,5.456,2200.8555908203125
2003-11-25 03:15:00,2003,11,25,5.252,1271.5067749023438
2004-04-06 15:45:00,2004,4,6,5.166,532.7389526367188
2005-04-29 18:30:00,2005,4,29,6.109,2296.925537109375
2006-12-05 02:45:00,2006,12,5,5.38,1254.13916015625
2007-04-19 16:15:00,2007,4,19,5.886,717.6532592773438
2008-04-24 17:45:00,2008,4,24,6.212,2175.3380126953125
2009-04-08 14:45:00,2009,4,8,5.857,856.0977172851562
2010-12-07 03:15:00,2010,12,7,5.229,912.8148803710938
2011-05-06 17:00:00,2011,5,6,6.13,2811.257080078125
2012-03-24 16:45:00,2012,3,24,5.458,1241.396484375
2013-05-27 16:30:00,2013,5,27,5.394,1430.7987060546875
2014-04-17 17:30:00,2014,4,17,6.003,513.6710357666016
2015-04-23 18:00:00,2015,4,23,5.202,969.4856262207031
2016-04-09 16:45:00,2016,4,9,5.662,811.0763854980469
2017-05-10 15:15:00,2017,5,10,6.447,3145.6790771484375
2018-05-01 16:15:00,2018,5,1,5.976,1731.489990234375
2019-04-23 18:00:00,2019,4,23,6.633,1347.5379028320312
2020-04-10 16:30:00,2020,4,10,6.076,543.484375
