Date,year,month,day,Qmax,Wlmax
1968-04-27,1968,4,27,2501.751953125,5.481
1969-05-21,1969,5,21,3379.6312255859375,5.736
1970-05-06,1970,5,6,2871.021728515625,6.139
1971-05-15,1971,5,15,3623.9251708984375,6.01
1972-05-23,1972,5,23,3487.5057373046875,5.956
1973-05-07,1973,5,7,3115.624267578125,6.417
1974-05-28,1974,5,28,4160.94970703125,6.695
1975-05-16,1975,5,16,2971.5762939453125,5.662
1976-05-14,1976,5,14,2870.4251708984375,6.05
1977-04-30,1977,4,30,2313.7484130859375,5.745
1978-05-17,1978,5,17,2361.7662353515625,5.564
1979-05-02,1979,5,2,2887.209228515625,6.252
1980-10-09,1980,10,9,1312.6853637695312,4.884
1981-05-20,1981,5,20,2172.9627685546875,5.339
1982-05-13,1982,5,13,2005.2723999023438,5.469
1983-05-11,1983,5,11,3793.0634765625,6.521
1984-05-02,1984,5,2,2345.2825927734375,5.954
1985-05-05,1985,5,5,1861.5081176757812,6.197
1986-05-03,1986,5,3,2146.398681640625,5.442
1987-04-12,1987,4,12,1262.8193359375,5.675
1988-05-12,1988,5,12,1919.559326171875,4.712
1989-05-13,1989,5,13,2385.0491943359375,5.154
1990-05-02,1990,5,2,2862.71435546875,5.746
1991-05-06,1991,5,6,2368.6583251953125,5.903
1992-05-06,1992,5,6,2241.4041748046875,5.783
1993-04-27,1993,4,27,1803.263671875,6.432
1994-05-15,1994,5,15,1925.3995361328125,5.029
1995-05-21,1995,5,21,1514.3475341796875,4.712
1996-05-05,1996,5,5,2389.6558837890625,6.112
1997-05-09,1997,5,9,2827.954833984375,6.365
1998-04-23,1998,4,23,2062.0682373046875,5.612
1999-05-12,1999,5,12,1961.95654296875,4.037
2000-05-16,2000,5,16,1906.8303833007812,5.285
2001-05-07,2001,5,7,1978.3104858398438,4.77
2002-04-22,2002,4,22,2750.5166015625,5.511
2003-05-04,2003,5,4,1445.0791625976562,4.668
2004-05-07,2004,5,7,2697.017578125,5.337
2005-05-03,2005,5,3,2590.7232666015625,6.15
2006-04-25,2006,4,25,1716.8417358398438,5.482
2007-05-01,2007,5,1,1265.2008666992188,5.309
2008-04-30,2008,4,30,2560.9967041015625,6.095
2009-05-01,2009,5,1,1648.314208984375,5.495
2010-10-04,2010,10,4,1447.2431640625,4.996
2011-05-08,2011,5,8,2849.7252197265625,6.266
2012-03-27,2012,3,27,1456.0340576171875,5.626
2013-05-07,2013,5,7,2068.7694702148438,5.101
2014-05-08,2014,5,8,2222.9173583984375,5.701
2015-05-03,2015,5,3,1340.5076293945312,4.682
2016-05-19,2016,5,19,2306.357421875,4.755
2017-05-10,2017,5,10,3145.6790771484375,6.654
2018-05-08,2018,5,8,2856.758056640625,6.028
2019-05-25,2019,5,25,2975.11376953125,6.129
2020-05-08,2020,5,8,2302.6339111328125,5.924
